newsDatetime,important,liked,disliked,positive,negative,code,net_sentiment,net_engagement,year,month,quarter
2019-03-05 10:33:30,7,7,0,7,1,BTC,6,7,2019,3,1
2019-03-05 16:01:13,3,4,0,5,0,BTC,5,4,2019,3,1
2019-03-10 13:19:32,12,18,3,16,3,BTC,13,15,2019,3,1
2019-03-15 14:45:21,16,20,0,25,0,BTC,25,20,2019,3,1
2019-04-04 11:42:37,10,12,0,16,0,BTC,16,12,2019,4,2
2019-04-13 13:02:15,27,37,0,30,0,BTC,30,37,2019,4,2
2019-04-15 15:06:59,6,7,0,6,0,BTC,6,7,2019,4,2
2019-04-27 19:30:41,13,26,0,27,0,BTC,27,26,2019,4,2
2019-04-29 06:30:03,9,15,1,16,1,BTC,15,14,2019,4,2
2019-05-06 12:55:06,3,0,0,0,1,BTC,-1,0,2019,5,2
2019-05-08 12:18:56,3,5,0,6,1,BTC,5,5,2019,5,2
2019-05-10 11:12:40,4,6,5,9,2,BTC,7,1,2019,5,2
2019-05-24 21:17:18,24,5,19,0,31,BTC,-31,-14,2019,5,2
2019-06-03 17:38:36,9,9,11,11,15,BTC,-4,-2,2019,6,2
2019-06-14 20:11:33,25,57,1,35,2,BTC,33,56,2019,6,2
2019-09-24 20:43:36,3,1,0,1,1,BTC,0,1,2019,9,3
2019-10-08 21:24:49,4,6,0,3,2,BTC,1,6,2019,10,4
2019-10-21 17:10:00,5,8,27,8,8,BTC,0,-19,2019,10,4
2019-10-30 12:04:47,5,8,11,7,13,BTC,-6,-3,2019,10,4
2019-11-01 07:20:38,3,5,3,5,2,BTC,3,2,2019,11,4
2019-11-14 21:00:46,3,3,0,3,0,BTC,3,3,2019,11,4
2019-12-26 08:20:14,12,26,0,24,0,BTC,24,26,2019,12,4
2020-01-27 10:30:03,7,10,0,10,0,BTC,10,10,2020,1,1
2020-01-27 17:50:00,3,10,0,9,0,BTC,9,10,2020,1,1
2020-02-14 12:50:37,4,6,0,6,0,BTC,6,6,2020,2,1
2020-07-28 16:00:23,16,20,0,26,0,BTC,26,20,2020,7,3
