exchange,symbol,timestamp,local_timestamp,type,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_index,underlying_price,delta,gamma,vega,theta,rho,underlying,server_timestamp,date,DTE_float,DTE
deribit,BTC-15JAN21-20000-C,1609972520146000.0,2021-01-06 22:35:20.156814,call,20000.0,2021-01-15 08:00:00,0.0,,0.451,1.0,190.66,0.4615,1.0,284.79,0.45050542,180.0,SYN.BTC-15JAN21,36329.51,0.98992,0.0,1.47835,-15.8539,4.50584,BTC,2021-01-06 22:35:20.146,2021-01-06,8.392127939814815,9.0
deribit,BTC-15JAN21-20000-P,1609977597765000.0,2021-01-06 23:59:57.801831,put,20000.0,2021-01-15 08:00:00,2183.8,0.001,0.001,103.1,185.61,0.0015,0.5,196.75,0.00079679,180.0,SYN.BTC-15JAN21,37062.85,-0.00811,0.0,1.2418,-13.4114,-0.07533,BTC,2021-01-06 23:59:57.765,2021-01-06,8.33335920138889,9.0
deribit,BTC-15JAN21-21000-C,1609977275254000.0,2021-01-06 23:54:35.283726,call,21000.0,2021-01-15 08:00:00,0.3,0.424,0.4345,1.0,171.14,0.442,1.0,252.1,0.43523787,180.0,SYN.BTC-15JAN21,37072.89,0.98697,0.0,1.87928,-20.28762,4.67472,BTC,2021-01-06 23:54:35.254,2021-01-06,8.337091967592594,9.0
deribit,BTC-15JAN21-21000-P,1609977598862000.0,2021-01-06 23:59:58.887828,put,21000.0,2021-01-15 08:00:00,353.1,0.002,0.0005,86.2,157.34,0.003,11.0,204.66,0.00135706,180.0,SYN.BTC-15JAN21,37060.05,-0.01306,0.0,1.88188,-20.32427,-0.12198,BTC,2021-01-06 23:59:58.862,2021-01-06,8.33334650462963,9.0
deribit,BTC-15JAN21-22000-C,1609977277465000.0,2021-01-06 23:54:37.481705,call,22000.0,2021-01-15 08:00:00,0.0,0.319,0.408,1.0,171.88,0.4155,1.0,239.0,0.40867176,179.87,SYN.BTC-15JAN21,37058.57,0.98002,0.0,2.70957,-29.23067,4.83724,BTC,2021-01-06 23:54:37.465,2021-01-06,8.337066377314816,9.0
deribit,BTC-15JAN21-22000-P,1609977599863000.0,2021-01-06 23:59:59.873201,put,22000.0,2021-01-15 08:00:00,726.4,0.002,0.002,2.4,177.09,0.004,30.0,200.2,0.00220245,179.93,SYN.BTC-15JAN21,37044.32,-0.02006,0.0,2.71709,-29.33367,-0.18829,BTC,2021-01-06 23:59:59.863,2021-01-06,8.333334918981482,9.0
deribit,BTC-15JAN21-23000-C,1609977275257000.0,2021-01-06 23:54:35.283728,call,23000.0,2021-01-15 08:00:00,0.0,,0.3815,1.0,162.56,0.389,1.0,223.63,0.38253539,171.15,SYN.BTC-15JAN21,37072.89,0.97586,1e-05,3.17927,-32.63395,5.02717,BTC,2021-01-06 23:54:35.257,2021-01-06,8.33709193287037,9.0
deribit,BTC-15JAN21-23000-P,1609977598862000.0,2021-01-06 23:59:58.889021,put,23000.0,2021-01-15 08:00:00,281.9,0.0035,0.0015,1.0,156.48,0.0045,13.0,189.97,0.00250388,170.26,SYN.BTC-15JAN21,37060.05,-0.02368,1e-05,3.12751,-31.94851,-0.22158,BTC,2021-01-06 23:59:58.862,2021-01-06,8.33334650462963,9.0
deribit,BTC-15JAN21-24000-C,1609977598154000.0,2021-01-06 23:59:58.160307,call,24000.0,2021-01-15 08:00:00,136.4,0.1392,0.35,4.0,,0.366,4.0,228.17,0.35538284,161.57,SYN.BTC-15JAN21,37060.05,0.9714,1e-05,3.66164,-35.4959,5.21266,BTC,2021-01-06 23:59:58.154,2021-01-06,8.333354699074075,9.0
deribit,BTC-15JAN21-24000-P,1609977598862000.0,2021-01-06 23:59:58.886280,put,24000.0,2021-01-15 08:00:00,334.4,0.0045,0.002,31.0,151.04,0.0045,0.3,175.52,0.00293347,161.57,SYN.BTC-15JAN21,37060.05,-0.0286,1e-05,3.66164,-35.4959,-0.26679,BTC,2021-01-06 23:59:58.862,2021-01-06,8.33334650462963,9.0
